district_code,state,district_number,total_population,pop_25_34,yp_estimate,yp_density_pct,yp_share_of_cohort_pct,swing_state,pct_bachelors,pct_employed,pct_income_40k_200k,pct_not_enrolled
NJ-1,NJ,1,770451,105472,21641,2.81,20.52,False,0.41353155339805825,0.8006011074029126,0.6982531992091598,0.8875530946601942
PA-5,PA,5,763043,101977,21439,2.81,21.02,True,0.4487678594192808,0.8115457407062376,0.6483044134886521,0.8904164664581229
CO-8,CO,8,721664,114367,20141,2.79,17.61,False,0.3097484414210393,0.8227198405134348,0.7583246900775423,0.9113118294612956
NJ-7,NJ,7,775299,79070,21516,2.78,27.21,False,0.5593777665359808,0.8524471986847098,0.631713755521288,0.9033514607309978
NY-2,NY,2,772462,103118,21455,2.78,20.81,False,0.41248860528714676,0.8234352877286216,0.682548794489093,0.8974669795767956
TX-4,TX,4,773348,98818,21432,2.77,21.69,False,0.4481369790928778,0.7798579206217491,0.6924676811525068,0.8961828816612358
WI-4,WI,4,731384,121110,20175,2.76,16.66,True,0.38390719180909916,0.7865741887540253,0.6245804845143614,0.8832548922467178
NJ-9,NJ,9,765162,110166,21102,2.76,19.15,False,0.42892543979086106,0.7797505582484614,0.6389817629179332,0.8962747127062796
NJ-3,NJ,3,777191,89203,21273,2.74,23.85,False,0.49375021019472437,0.7886842370772283,0.6796053798029432,0.9011356120309855
MT-1,MT,1,547233,72342,14985,2.74,20.71,False,0.4039700312404965,0.8175333830969561,0.7041757480405884,0.8907135550579194
MA-4,MA,4,778731,94117,21346,2.74,22.68,False,0.515762295865784,0.8123399598372238,0.6084631906045789,0.8896692414760351
NH-2,NH,2,689951,84974,18846,2.73,22.18,False,0.40776002071221784,0.8184856544354744,0.7269055823569952,0.9142090521806671
MI-7,MI,7,773038,96695,21084,2.73,21.8,True,0.4226692176431046,0.8201665029215575,0.7279751875422574,0.8640364031232225
UT-3,UT,3,813368,113066,22198,2.73,19.63,False,0.4116975925565599,0.7940671819998939,0.7261640798226164,0.8270036969557604
PA-10,PA,10,766732,100211,20928,2.73,20.88,True,0.3778926465158515,0.8143616968197104,0.742082203213019,0.9145004041472493
CA-16,CA,16,749237,95771,20491,2.73,21.4,False,0.6691691639431561,0.830042497206879,0.4553014068759899,0.8460389888379573
MA-3,MA,3,776406,103591,21055,2.71,20.33,False,0.41228485100056955,0.7994613431668774,0.6906827084499161,0.8928285275747894
MN-6,MN,6,715967,85256,19330,2.7,22.67,False,0.3732992399361922,0.8523271089424791,0.7794135799005801,0.9142816927840856
CA-7,CA,7,753515,117069,20318,2.7,17.36,False,0.38889031255071793,0.7730483731816279,0.6777445120119342,0.851788261623487
NJ-12,NJ,12,769517,92570,20671,2.69,22.33,False,0.49577616938533003,0.7792589391811602,0.6463310275975184,0.8942746030031328
TN-6,TN,6,773165,112448,20803,2.69,18.5,False,0.34377667899829256,0.805767999430848,0.7215066639407304,0.9256723107569721
UT-1,UT,1,822008,119864,22028,2.68,18.38,False,0.358064139357939,0.7978876059534139,0.7610784639834424,0.8451912167122739
NY-8,NY,8,778365,124658,20751,2.67,16.65,False,0.43363442378347156,0.7174028140993759,0.5894086292285738,0.9078599046992571
SC-4,SC,4,737328,103642,19624,2.66,18.93,False,0.3756971112097412,0.7981706258080701,0.6926081457121174,0.9116477875764651
NC-13,NC,13,760678,100586,20164,2.65,20.05,True,0.39643687988388043,0.7907959358161175,0.7174265001598383,0.891277116099656
FL-7,FL,7,771916,102904,20444,2.65,19.87,False,0.36739096633755736,0.8232527404182539,0.7488609677174983,0.8771379149498562
FL-9,FL,9,754301,111978,19934,2.64,17.8,False,0.34807730089839073,0.7971119327010663,0.7241386850938673,0.8860222543713944
UT-2,UT,2,823538,119843,21684,2.63,18.09,False,0.34006992481830395,0.8039268042355415,0.7523274827270063,0.8797092863162638
FL-23,FL,23,762506,89211,20040,2.63,22.46,False,0.4626111129793411,0.8102588245844122,0.6778640101934438,0.8840725919449395
OR-5,OR,5,707199,91222,18623,2.63,20.42,False,0.3755453728267304,0.8161846922891408,0.7390688841572193,0.9012080419197124
MN-1,MN,1,712863,86156,18725,2.63,21.73,False,0.3753656158596035,0.8546705975207762,0.7478095956347182,0.9059148521286968
VA-1,VA,1,789933,84987,20695,2.62,24.35,False,0.46351794980408767,0.7979926341675786,0.7352244801777439,0.8954192994222646
CA-45,CA,45,756570,101383,19803,2.62,19.53,False,0.4291153349180829,0.7865815767929535,0.6862223445407702,0.8433169269009597
NY-4,NY,4,773437,97341,20288,2.62,20.84,False,0.500611253223205,0.8118983778674967,0.5770808126836473,0.8886080890888731
NV-3,NV,3,783412,119111,20483,2.61,17.2,True,0.3425124463735507,0.792882269479729,0.7070473984319315,0.8956015817178934
CO-5,CO,5,722030,116138,18846,2.61,16.23,False,0.3546642787029224,0.7045755911071312,0.7509444708115804,0.8647471111953021
VA-10,VA,10,783536,89126,20387,2.6,22.87,False,0.4983618697125418,0.8352332652649058,0.6177810561027466,0.8895496263716536
OK-5,OK,5,793633,112948,20605,2.6,18.24,False,0.3875057548606438,0.7749849488260084,0.6863338555761288,0.8850798597584729
CA-46,CA,46,759331,127887,19775,2.6,15.46,False,0.31570057941776725,0.7946155590482222,0.7118811881188118,0.8658503209864958
KY-6,KY,6,750403,101573,19461,2.59,19.16,False,0.38975908952182176,0.8087680781309994,0.6904616325282789,0.8802929912476741
VA-2,VA,2,783084,112081,20261,2.59,18.08,False,0.3871396579259643,0.7082199480732685,0.7500602508362816,0.8789982244983539
SC-1,SC,1,734138,92869,18966,2.58,20.42,False,0.39536336129386557,0.7867103123754967,0.7276255127198753,0.9023893872013266
IN-5,IN,5,756125,90043,19491,2.58,21.65,False,0.4171229301555923,0.8154437324389459,0.694308739404568,0.9165954044178892
AR-3,AR,3,758572,107413,19485,2.57,18.14,False,0.3646392894714792,0.8010017409438336,0.684498691567126,0.9073296528353179
CA-37,CA,37,756145,132695,19418,2.57,14.63,False,0.37305851765326503,0.7551075775274125,0.5925572812548054,0.8766720675232677
MD-5,MD,5,774011,98440,19701,2.55,20.01,False,0.41983949613978055,0.7654307192198293,0.7204132640720563,0.8644453474197481
PA-11,PA,11,765641,97119,19460,2.54,20.04,True,0.34022178976307416,0.8221151370998466,0.7777938767094279,0.9210247222479638
CA-40,CA,40,754432,88822,19165,2.54,21.58,False,0.5140956069442255,0.8076152304609219,0.6160931285903668,0.8435072391974962
SD-AL,SD,0,890342,113899,22397,2.52,19.66,False,0.3441206683113987,0.8300687451162873,0.7438736565036193,0.925425157376272
CT-4,CT,4,722029,82385,18225,2.52,22.12,False,0.5521150694908054,0.8135947077744735,0.5556390211606529,0.8863021181040238
HI-1,HI,1,723185,105092,18077,2.5,17.2,False,0.39061013207475354,0.7228713888783161,0.7152332268370607,0.851729912838275
NJ-5,NJ,5,771690,79307,19284,2.5,24.32,False,0.5776287086890186,0.8170401099524632,0.5787173383897473,0.8902618936537758
TX-2,TX,2,761434,99609,18925,2.49,19.0,False,0.37756628417110905,0.7764057464686925,0.7190741033964057,0.9013141382806774
TX-3,TX,3,780231,88187,19351,2.48,21.94,False,0.4281470057945049,0.8009116990032544,0.7051335777894185,0.9075147130529443
IA-1,IA,1,797528,98509,19664,2.47,19.96,False,0.37976225522541085,0.8106670456506512,0.7242344255462718,0.8952989066988803
CA-29,CA,29,742347,127841,18330,2.47,14.34,False,0.3192246618846849,0.7755023818649729,0.6639428915143055,0.8723336018961053
GA-7,GA,7,763613,99542,18847,2.47,18.93,True,0.38661067690020295,0.7807558618472604,0.7014117498100785,0.8942757830865363
MD-6,MD,6,777191,98131,19160,2.47,19.52,False,0.3999755428967401,0.7861328224516207,0.6987963502232576,0.888618275570411
FL-25,FL,25,765444,95575,18812,2.46,19.68,False,0.417933560031389,0.7943290609469004,0.6912777097025733,0.8576929113261836
NY-1,NY,1,778417,82446,19149,2.46,23.23,False,0.521310918661912,0.8130048759187832,0.6183360663967069,0.8862528200276545
PA-7,PA,7,766617,94801,18895,2.46,19.93,True,0.37417326821447033,0.8155082752291642,0.721165580602823,0.9057499393466314
OH-11,OH,11,781356,122500,19117,2.45,15.61,False,0.39179591836734695,0.7737224489795919,0.5805369410376364,0.8867755102040816
TX-21,TX,21,764786,92622,18665,2.44,20.15,False,0.4133791107944117,0.8100991125218631,0.6743199375410914,0.8923797801818143
KY-4,KY,4,751457,94957,18334,2.44,19.31,False,0.36441757848289225,0.7915161599460808,0.7371885749453254,0.9079899322851396
WI-8,WI,8,736190,88806,17961,2.44,20.22,True,0.3268810665945995,0.8676440781028308,0.7822112375072852,0.9116726347318875
MI-10,MI,10,772612,108190,18740,2.43,17.32,True,0.3405397911082355,0.7949718088547925,0.721813952530929,0.886422035308254
VA-7,VA,7,786030,102249,19053,2.42,18.63,False,0.35461471505833797,0.7813083746540308,0.7552689490567897,0.8904634764154172
AZ-5,AZ,5,787758,86800,18868,2.4,21.74,True,0.40078341013824886,0.8124654377880184,0.7540653269053681,0.885299539170507
LA-6,LA,6,781098,107542,18731,2.4,17.42,False,0.35371296795670526,0.7937735954324822,0.6984841238079434,0.8881553253612542
